설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,회전체면적,air_density,absolute_humidity,강수량(mm)
3.0,5.45,29.0,512.0,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,373.24800000000005,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,636.0559999999999,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.19080899537654472,-0.981627183447664,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,614.125,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.34202014332566866,-0.9396926207859084,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,28.0,571.7870000000001,85.0,32.14178914806547,25.241196966924083,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,28.0,195.112,85.0,32.14178914806547,25.241196966924083,994.8863388599692,-0.06975647374412527,-0.9975640502598242,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,28.0,185.193,85.0,32.14178914806547,25.241196966924083,994.8863388599692,0.19080899537654497,-0.981627183447664,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,27.0,226.98099999999997,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.13917310096006533,-0.9902680687415704,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,185.193,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.17364817766693028,-0.984807753012208,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,226.98099999999997,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.15643446504023098,-0.9876883405951377,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,287.496,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.05233595624294381,-0.9986295347545738,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,328.50900000000007,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.03489949670250114,-0.9993908270190958,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,8.0,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.19080899537654472,-0.981627183447664,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,27.0,8.0,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.2079116908177595,-0.9781476007338056,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,28.0,27.0,95.0,35.92317610666141,27.123174341362013,994.8863388599692,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.135148870714957,25.84787589146095,2.0
3.0,5.45,28.0,8.0,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.15643446504023073,-0.9876883405951378,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,2.0
3.0,5.45,28.0,8.0,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.052335956242943564,-0.9986295347545738,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,2.0
3.0,5.45,27.0,8.0,90.0,32.098825539264666,25.21822789291274,994.8863388599692,-0.3090169943749473,-0.9510565162951536,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,2.0
3.0,5.45,27.0,8.0,,,,994.8863388599692,-0.06975647374412527,-0.9975640502598242,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,,,0.0
